brand,agency,recall_external_id,recall_date,title,severity,remedy,units_affected,model_numbers,matched_via,source_url
Bosch,CPSC,09100,2009-01-15,Bosch and Siemens Model Dishwashers Recalled by BSH Home Appliances Corporation Due to Fire Hazard,,Consumers should immediately stop using the listed model dishwashers and contact the repair hotline at (800) 856-9226 for a free repair.,476500,,title_mention,https://www.cpsc.gov/Recalls/2009/Bosch-and-Siemens-Model-Dishwashers-Recalled-by-BSH-Home-Appliances-Corporation-Due-to-Fire-Hazard
Frigidaire,CPSC,08573,2008-05-20,Frigidaire Canada Recalls Kenmore Wall Ovens Due to Fire and Burn Hazards,,"Consumers should immediately stop using the ""broil"" feature on recalled ovens and contact Transform for Kenmore branded products to schedule a free repair. Consumers may continue to use the ""bake"" feature.",7500,,title_mention,https://www.cpsc.gov/Recalls/2008/Frigidaire-Canada-Recalls-Kenmore-Wall-Ovens-Due-to-Fire-and-Burn-Hazards
Frigidaire,CPSC,09292,2009-07-30,Frigidaire Recalls Clothes Washers Due to Fire Hazard,,Consumers should immediately unplug and stop using the machine. Consumers should contact Frigidaire or Sears (if unit was purchased there) to schedule a free repair.,35000,,title_mention,https://www.cpsc.gov/Recalls/2009/Frigidaire-Recalls-Clothes-Washers-Due-to-Fire-Hazard
Frigidaire,CPSC,09333,2009-08-27,Frigidaire and Kenmore Smoothtop Electric Ranges Recalled Due to Fire Hazard,,Consumers should stop using the recalled ranges immediately and discard them. The remedy is no longer available.,200000,,title_mention,https://www.cpsc.gov/Recalls/2009/Frigidaire-and-Kenmore-Smoothtop-Electric-Ranges-Recalled-Due-to-Fire-Hazard
Frigidaire,CPSC,11016,2010-10-21,Frigidaire and Electrolux ICON Electric Smoothtop Cooktops and Slide-In Ranges Recalled Due to Fire Hazard,,Consumers should immediately stop using and unplug the recalled ranges or power off cooktops at the circuit breaker. Contact Electrolux for information on how to obtain a free repair kit.; Repair,122000,,title_mention,https://www.cpsc.gov/Recalls/2010/Frigidaire-and-Electrolux-ICON-Electric-Smoothtop-Cooktops-and-Slide-In-Ranges-Recalled
Frigidaire,CPSC,12737,2012-06-20,"Frigidaire Gas Range Recalled Due to Fire Hazard, Sold Exclusively at Lowe's Stores",,Consumers with the recalled model and serial numbers should stop using the bake and broil functions immediately and contact Frigidaire. Frigidaire will provide information about an inspection and arrange for a free in-home service and repair if necessary.; Repair,185,,title_mention,https://www.cpsc.gov/Recalls/2012/Frigidaire-Gas-Range-Recalled-Due-to-Fire-Hazard-Sold-Exclusively-at-Lowes-Stores
Frigidaire,CPSC,16759,2016-07-26,Frigidaire and Kenmore Wall Ovens Recalled by Electrolux Due to Fire Hazard (Recall Alert),,Consumers should immediately stop using the recalled ovens and contact Electrolux or Transform for Kenmore brand products to schedule a free inspection and free repair. The firm is contacting all known purchasers directly.; Repair,1000,,title_mention,https://www.cpsc.gov/Recalls/2016/Frigidaire-and-Kenmore-Wall-Ovens-Recalled-by-Electrolux
Frigidaire,CPSC,22143,2022-06-02,Electrolux Recalls Frigidaire and Electrolux Refrigerators Due to Choking Hazard from Ice Maker,,"Consumers should immediately stop using the recalled Frigidaire and Electrolux refrigerator ice makers, empty the ice bucket and contact Electrolux to schedule a technician to replace the ice maker with one that has a polypropylene ice level detector, free of charge.; Replace",367500,,title_mention,https://www.cpsc.gov/Recalls/2022/Electrolux-Recalls-Frigidaire-and-Electrolux-Refrigerators-Due-to-Choking-Hazard-from-Ice-Maker
Frigidaire,CPSC,23269,2023-08-31,"Electrolux Group Recalls Frigidaire Gas Cooktops Due to Risk of Gas Leak, Fire Hazard",,"Consumers should immediately stop using the recalled cooktops, check for plastic control knobs with a black shaft and contact Electrolux Group for a free set of replacement knobs. Consumers can continue to use knobs with a chrome-colored shaft. The firm is contacting known purchasers directly.; Replace",215,,title_mention,https://www.cpsc.gov/Recalls/2023/Electrolux-Group-Recalls-Frigidaire-Gas-Cooktops-Due-to-Risk-of-Gas-Leak-Fire-Hazard
Frigidaire,CPSC,24110,2024-02-08,Electrolux Group Recalls Frigidaire Side by Side Refrigerators with Slim Ice Buckets Due to Choking and Laceration Hazards,,"Consumers should immediately stop using the ice makers and contact Electrolux Group to request a replacement ice bucket assembly component, free of charge.; Repair",383240,,title_mention,https://www.cpsc.gov/Recalls/2024/Electrolux-Group-Recalls-Frigidaire-Side-by-Side-Refrigerators-with-Slim-Ice-Buckets-Due-to-Choking-and-Laceration-Hazards
